word,source,word_length,translation
singing,Oxford3000,7,nyanyian
visitor,Oxford3000,7,pengunjung
necessarily,Oxford3000,11,perlu
frog,Oxford3000,4,katak
explore,Oxford3000,7,mengeksplorasi
wire,Oxford3000,4,kabel
clean,Oxford3000,5,membersihkan
strike,Oxford3000,6,memukul
engage,Oxford3000,6,melibatkan
responsibility,Oxford3000,14,tanggung jawab
phone,Oxford3000,5,telepon
donate,Oxford3000,6,menyumbangkan
open,Oxford3000,4,membuka
early,Oxford3000,5,lebih awal
alternative,Oxford3000,11,alternatif
historical,Oxford3000,10,historis
effective,Oxford3000,9,efektif
of,Oxford3000,2,dari
orange,Oxford3000,6,oranye
appropriate,Oxford3000,11,sesuai
spread,Oxford3000,6,menyebar
trend,Oxford3000,5,kecenderungan
debt,Oxford3000,4,utang
increasingly,Oxford3000,12,makin
try,Oxford3000,3,mencoba
attitude,Oxford3000,8,sikap
chef,Oxford3000,4,koki
aged,Oxford3000,4,berumur
report,Oxford3000,6,laporan
some,Oxford3000,4,beberapa
through,Oxford3000,7,melalui
rate,Oxford3000,4,kecepatan
defend,Oxford3000,6,membela
draw,Oxford3000,4,menggambar
champion,Oxford3000,8,juara
sheep,Oxford3000,5,domba
recipe,Oxford3000,6,resep
coloured,Oxford3000,8,berwarna
princess,Oxford3000,8,putri
lot,Oxford3000,3,banyak
due,Oxford3000,3,jatuh tempo
settle,Oxford3000,6,menetap
relevant,Oxford3000,8,relevan
salary,Oxford3000,6,gaji
familiar,Oxford3000,8,akrab
joy,Oxford3000,3,sukacita
background,Oxford3000,10,latar belakang
president,Oxford3000,9,presiden
soup,Oxford3000,4,sup
smart,Oxford3000,5,cerdas
discount,Oxford3000,8,diskon
quietly,Oxford3000,7,dengan tenang
net,Oxford3000,3,bersih
single,Oxford3000,6,lajang
global,Oxford3000,6,global
aspect,Oxford3000,6,aspek
advise,Oxford3000,6,menasihati
knife,Oxford3000,5,pisau
participate,Oxford3000,11,ikut
bride,Oxford3000,5,pengantin perempuan
offence,Oxford3000,7,pelanggaran
informal,Oxford3000,8,tidak resmi
advanced,Oxford3000,8,canggih
van,Oxford3000,3,mobil van
lonely,Oxford3000,6,kesepian
pure,Oxford3000,4,murni
assist,Oxford3000,6,membantu
analyse,Oxford3000,7,menganalisa
dinner,Oxford3000,6,makan malam
decorate,Oxford3000,8,menghias
commission,Oxford3000,10,komisi
payment,Oxford3000,7,pembayaran
a,Oxford3000,1,A
personality,Oxford3000,11,kepribadian
