word,source,word_length
abolish,Oxford5000,7
abortion,Oxford5000,8
absence,Oxford5000,7
absent,Oxford5000,6
absorb,Oxford5000,6
abstract,Oxford5000,8
absurd,Oxford5000,6
abundance,Oxford5000,9
abuse,Oxford5000,5
academy,Oxford5000,7
accelerate,Oxford5000,10
accent,Oxford5000,6
acceptance,Oxford5000,10
accessible,Oxford5000,10
accidentally,Oxford5000,12
accommodate,Oxford5000,11
accomplish,Oxford5000,10
accomplishment,Oxford5000,14
accordance,Oxford5000,10
accordingly,Oxford5000,11
accountability,Oxford5000,14
accountable,Oxford5000,11
accountant,Oxford5000,10
accounting,Oxford5000,10
accumulate,Oxford5000,10
accumulation,Oxford5000,12
accuracy,Oxford5000,8
accurately,Oxford5000,10
accusation,Oxford5000,10
accused,Oxford5000,7
acid,Oxford5000,4
acquisition,Oxford5000,11
acre,Oxford5000,4
activate,Oxford5000,8
activation,Oxford5000,10
activist,Oxford5000,8
acute,Oxford5000,5
adaptation,Oxford5000,10
addiction,Oxford5000,9
additionally,Oxford5000,12
adequate,Oxford5000,8
adequately,Oxford5000,10
adhere,Oxford5000,6
adjacent,Oxford5000,8
adjust,Oxford5000,6
adjustment,Oxford5000,10
administer,Oxford5000,10
administrative,Oxford5000,14
administrator,Oxford5000,13
admission,Oxford5000,9
adolescent,Oxford5000,10
adoption,Oxford5000,8
adverse,Oxford5000,7
advocate,Oxford5000,8
aesthetic,Oxford5000,9
affection,Oxford5000,9
affordable,Oxford5000,10
aftermath,Oxford5000,9
aggression,Oxford5000,10
agricultural,Oxford5000,12
agriculture,Oxford5000,11
aide,Oxford5000,4
aids,Oxford5000,4
albeit,Oxford5000,6
alert,Oxford5000,5
alien,Oxford5000,5
align,Oxford5000,5
alignment,Oxford5000,9
alike,Oxford5000,5
allegation,Oxford5000,10
allege,Oxford5000,6
allegedly,Oxford5000,9
alliance,Oxford5000,8
allocate,Oxford5000,8
allocation,Oxford5000,10
allowance,Oxford5000,9
ally,Oxford5000,4
alongside,Oxford5000,9
altogether,Oxford5000,10
aluminium,Oxford5000,9
amateur,Oxford5000,7
ambassador,Oxford5000,10
ambulance,Oxford5000,9
amend,Oxford5000,5
amendment,Oxford5000,9
amid,Oxford5000,4
amusing,Oxford5000,7
analogy,Oxford5000,7
analyst,Oxford5000,7
ancestor,Oxford5000,8
anchor,Oxford5000,6
angel,Oxford5000,5
animation,Oxford5000,9
annually,Oxford5000,8
anonymous,Oxford5000,9
anticipate,Oxford5000,10
anxiety,Oxford5000,7
apology,Oxford5000,7
apparatus,Oxford5000,9
appealing,Oxford5000,9
appetite,Oxford5000,8
applaud,Oxford5000,7
applicable,Oxford5000,10
applicant,Oxford5000,9
appoint,Oxford5000,7
appreciation,Oxford5000,12
appropriately,Oxford5000,13
arbitrary,Oxford5000,9
architectural,Oxford5000,13
archive,Oxford5000,7
arena,Oxford5000,5
arguably,Oxford5000,8
arm,Oxford5000,3
array,Oxford5000,5
arrow,Oxford5000,5
articulate,Oxford5000,10
artwork,Oxford5000,7
ash,Oxford5000,3
aside,Oxford5000,5
aspiration,Oxford5000,10
aspire,Oxford5000,6
assassination,Oxford5000,13
assault,Oxford5000,7
assemble,Oxford5000,8
assembly,Oxford5000,8
assert,Oxford5000,6
assertion,Oxford5000,9
asset,Oxford5000,5
assign,Oxford5000,6
assistance,Oxford5000,10
assumption,Oxford5000,10
assurance,Oxford5000,9
assure,Oxford5000,6
astonishing,Oxford5000,11
asylum,Oxford5000,6
atrocity,Oxford5000,8
attachment,Oxford5000,10
attain,Oxford5000,6
attendance,Oxford5000,10
attorney,Oxford5000,8
attribute,Oxford5000,9
auction,Oxford5000,7
audio,Oxford5000,5
audit,Oxford5000,5
authentic,Oxford5000,9
authorize,Oxford5000,9
auto,Oxford5000,4
automatic,Oxford5000,9
automatically,Oxford5000,13
autonomy,Oxford5000,8
availability,Oxford5000,12
await,Oxford5000,5
awareness,Oxford5000,9
awkward,Oxford5000,7
backdrop,Oxford5000,8
backing,Oxford5000,7
backup,Oxford5000,6
badge,Oxford5000,5
bail,Oxford5000,4
balanced,Oxford5000,8
ballet,Oxford5000,6
balloon,Oxford5000,7
ballot,Oxford5000,6
banner,Oxford5000,6
bare,Oxford5000,4
barely,Oxford5000,6
bargain,Oxford5000,7
barrel,Oxford5000,6
basement,Oxford5000,8
basket,Oxford5000,6
bass,Oxford5000,4
bat,Oxford5000,3
battlefield,Oxford5000,11
bay,Oxford5000,3
beam,Oxford5000,4
beast,Oxford5000,5
behalf,Oxford5000,6
beloved,Oxford5000,7
bench,Oxford5000,5
benchmark,Oxford5000,9
beneath,Oxford5000,7
beneficial,Oxford5000,10
beneficiary,Oxford5000,11
beside,Oxford5000,6
besides,Oxford5000,7
betray,Oxford5000,6
bias,Oxford5000,4
bid,Oxford5000,3
bind,Oxford5000,4
biography,Oxford5000,9
biological,Oxford5000,10
bishop,Oxford5000,6
bizarre,Oxford5000,7
blade,Oxford5000,5
blanket,Oxford5000,7
blast,Oxford5000,5
bleed,Oxford5000,5
blend,Oxford5000,5
bless,Oxford5000,5
blessing,Oxford5000,8
blow,Oxford5000,4
boast,Oxford5000,5
bold,Oxford5000,4
bombing,Oxford5000,7
bonus,Oxford5000,5
booking,Oxford5000,7
boom,Oxford5000,4
boost,Oxford5000,5
bounce,Oxford5000,6
bound,Oxford5000,5
boundary,Oxford5000,8
bow,Oxford5000,3
breach,Oxford5000,6
breakdown,Oxford5000,9
breakthrough,Oxford5000,12
breed,Oxford5000,5
brick,Oxford5000,5
briefly,Oxford5000,7
broadband,Oxford5000,9
broadcaster,Oxford5000,11
broadly,Oxford5000,7
browser,Oxford5000,7
brutal,Oxford5000,6
buck,Oxford5000,4
buddy,Oxford5000,5
buffer,Oxford5000,6
bug,Oxford5000,3
bulk,Oxford5000,4
burden,Oxford5000,6
bureaucracy,Oxford5000,11
burial,Oxford5000,6
burst,Oxford5000,5
cabin,Oxford5000,5
cabinet,Oxford5000,7
calculation,Oxford5000,11
canal,Oxford5000,5
candle,Oxford5000,6
canvas,Oxford5000,6
capability,Oxford5000,10
capitalism,Oxford5000,10
capitalist,Oxford5000,10
carbon,Oxford5000,6
cargo,Oxford5000,5
carriage,Oxford5000,8
carve,Oxford5000,5
casino,Oxford5000,6
casual,Oxford5000,6
casualty,Oxford5000,8
catalogue,Oxford5000,9
cater,Oxford5000,5
cattle,Oxford5000,6
caution,Oxford5000,7
cautious,Oxford5000,8
cave,Oxford5000,4
cease,Oxford5000,5
cemetery,Oxford5000,8
certainty,Oxford5000,9
certificate,Oxford5000,11
challenging,Oxford5000,11
chamber,Oxford5000,7
championship,Oxford5000,12
chaos,Oxford5000,5
characterize,Oxford5000,12
charm,Oxford5000,5
charming,Oxford5000,8
charter,Oxford5000,7
chase,Oxford5000,5
cheek,Oxford5000,5
cheer,Oxford5000,5
choir,Oxford5000,5
chop,Oxford5000,4
chronic,Oxford5000,7
chunk,Oxford5000,5
circuit,Oxford5000,7
circulate,Oxford5000,9
circulation,Oxford5000,11
citizenship,Oxford5000,11
civic,Oxford5000,5
civilian,Oxford5000,8
civilization,Oxford5000,12
clarify,Oxford5000,7
clarity,Oxford5000,7
clash,Oxford5000,5
classification,Oxford5000,14
classify,Oxford5000,8
cleaning,Oxford5000,8
clerk,Oxford5000,5
cliff,Oxford5000,5
cling,Oxford5000,5
clinic,Oxford5000,6
clinical,Oxford5000,8
clip,Oxford5000,4
closure,Oxford5000,7
cluster,Oxford5000,7
coalition,Oxford5000,9
coastal,Oxford5000,7
cocktail,Oxford5000,8
cognitive,Oxford5000,9
coincide,Oxford5000,8
coincidence,Oxford5000,11
collaborate,Oxford5000,11
collaboration,Oxford5000,13
collective,Oxford5000,10
collector,Oxford5000,9
collision,Oxford5000,9
colonial,Oxford5000,8
colony,Oxford5000,6
colourful,Oxford5000,9
columnist,Oxford5000,9
combat,Oxford5000,6
comic,Oxford5000,5
commander,Oxford5000,9
commence,Oxford5000,8
commentary,Oxford5000,10
commentator,Oxford5000,11
commerce,Oxford5000,8
commissioner,Oxford5000,12
commodity,Oxford5000,9
communist,Oxford5000,9
companion,Oxford5000,9
comparable,Oxford5000,10
comparative,Oxford5000,11
compassion,Oxford5000,10
compel,Oxford5000,6
compelling,Oxford5000,10
compensate,Oxford5000,10
compensation,Oxford5000,12
competence,Oxford5000,10
competent,Oxford5000,9
compile,Oxford5000,7
complement,Oxford5000,10
completion,Oxford5000,10
complexity,Oxford5000,10
compliance,Oxford5000,10
complication,Oxford5000,12
comply,Oxford5000,6
compose,Oxford5000,7
composer,Oxford5000,8
composition,Oxford5000,11
compound,Oxford5000,8
comprehensive,Oxford5000,13
comprise,Oxford5000,8
compromise,Oxford5000,10
compulsory,Oxford5000,10
compute,Oxford5000,7
conceal,Oxford5000,7
concede,Oxford5000,7
conceive,Oxford5000,8
conception,Oxford5000,10
concession,Oxford5000,10
concrete,Oxford5000,8
condemn,Oxford5000,7
confer,Oxford5000,6
confess,Oxford5000,7
confession,Oxford5000,10
configuration,Oxford5000,13
confine,Oxford5000,7
confirmation,Oxford5000,12
confront,Oxford5000,8
confrontation,Oxford5000,13
confusion,Oxford5000,9
congratulate,Oxford5000,12
congregation,Oxford5000,12
congressional,Oxford5000,13
conquer,Oxford5000,7
conscience,Oxford5000,10
consciousness,Oxford5000,13
consecutive,Oxford5000,11
consensus,Oxford5000,9
consent,Oxford5000,7
consequently,Oxford5000,12
conservation,Oxford5000,12
conserve,Oxford5000,8
considerable,Oxford5000,12
considerably,Oxford5000,12
consistency,Oxford5000,11
consistently,Oxford5000,12
consolidate,Oxford5000,11
conspiracy,Oxford5000,10
constituency,Oxford5000,12
constitute,Oxford5000,10
constitution,Oxford5000,12
constitutional,Oxford5000,14
constraint,Oxford5000,10
consult,Oxford5000,7
consultant,Oxford5000,10
consultation,Oxford5000,12
consumption,Oxford5000,11
contemplate,Oxford5000,11
contempt,Oxford5000,8
contend,Oxford5000,7
contender,Oxford5000,9
content,Oxford5000,7
contention,Oxford5000,10
continually,Oxford5000,11
contractor,Oxford5000,10
contradiction,Oxford5000,13
contrary,Oxford5000,8
contributor,Oxford5000,11
controversial,Oxford5000,13
controversy,Oxford5000,11
convenience,Oxford5000,11
convention,Oxford5000,10
conventional,Oxford5000,12
conversion,Oxford5000,10
convey,Oxford5000,6
convict,Oxford5000,7
conviction,Oxford5000,10
convincing,Oxford5000,10
cooperate,Oxford5000,9
cooperative,Oxford5000,11
coordinate,Oxford5000,10
coordination,Oxford5000,12
coordinator,Oxford5000,11
cop,Oxford5000,3
cope,Oxford5000,4
copper,Oxford5000,6
copyright,Oxford5000,9
corporation,Oxford5000,11
correction,Oxford5000,10
correlate,Oxford5000,9
correlation,Oxford5000,11
correspond,Oxford5000,10
correspondence,Oxford5000,14
correspondent,Oxford5000,13
corresponding,Oxford5000,13
corridor,Oxford5000,8
corrupt,Oxford5000,7
corruption,Oxford5000,10
costly,Oxford5000,6
councillor,Oxford5000,10
counselling,Oxford5000,11
counsellor,Oxford5000,10
counter,Oxford5000,7
counterpart,Oxford5000,11
countless,Oxford5000,9
coup,Oxford5000,4
courtesy,Oxford5000,8
coverage,Oxford5000,8
crack,Oxford5000,5
craft,Oxford5000,5
crawl,Oxford5000,5
creativity,Oxford5000,10
creator,Oxford5000,7
credibility,Oxford5000,11
credible,Oxford5000,8
creep,Oxford5000,5
critically,Oxford5000,10
critique,Oxford5000,8
crown,Oxford5000,5
crude,Oxford5000,5
cruise,Oxford5000,6
crush,Oxford5000,5
crystal,Oxford5000,7
cue,Oxford5000,3
cult,Oxford5000,4
cultivate,Oxford5000,9
curiosity,Oxford5000,9
curious,Oxford5000,7
curriculum,Oxford5000,10
custody,Oxford5000,7
cute,Oxford5000,4
cutting,Oxford5000,7
cynical,Oxford5000,7
dairy,Oxford5000,5
dam,Oxford5000,3
damaging,Oxford5000,8
dare,Oxford5000,4
darkness,Oxford5000,8
database,Oxford5000,8
dawn,Oxford5000,4
deadline,Oxford5000,8
deadly,Oxford5000,6
dealer,Oxford5000,6
debris,Oxford5000,6
debut,Oxford5000,5
decision-making,Oxford5000,15
decisive,Oxford5000,8
deck,Oxford5000,4
declaration,Oxford5000,11
dedicated,Oxford5000,9
dedication,Oxford5000,10
deed,Oxford5000,4
deem,Oxford5000,4
default,Oxford5000,7
defect,Oxford5000,6
defender,Oxford5000,8
defensive,Oxford5000,9
deficiency,Oxford5000,10
deficit,Oxford5000,7
defy,Oxford5000,4
delegate,Oxford5000,8
delegation,Oxford5000,10
delete,Oxford5000,6
delicate,Oxford5000,8
democracy,Oxford5000,9
democratic,Oxford5000,10
demon,Oxford5000,5
demonstration,Oxford5000,13
denial,Oxford5000,6
denounce,Oxford5000,8
dense,Oxford5000,5
density,Oxford5000,7
depart,Oxford5000,6
dependence,Oxford5000,10
dependent,Oxford5000,9
depict,Oxford5000,6
deploy,Oxford5000,6
deployment,Oxford5000,10
deposit,Oxford5000,7
depression,Oxford5000,10
deprive,Oxford5000,7
deputy,Oxford5000,6
derive,Oxford5000,6
descend,Oxford5000,7
descent,Oxford5000,7
designate,Oxford5000,9
desirable,Oxford5000,9
desktop,Oxford5000,7
desperately,Oxford5000,11
destruction,Oxford5000,11
destructive,Oxford5000,11
detain,Oxford5000,6
detection,Oxford5000,9
detention,Oxford5000,9
deteriorate,Oxford5000,11
determination,Oxford5000,13
devastate,Oxford5000,9
devil,Oxford5000,5
devise,Oxford5000,6
devote,Oxford5000,6
diagnose,Oxford5000,8
diagnosis,Oxford5000,9
dictate,Oxford5000,7
dictator,Oxford5000,8
differ,Oxford5000,6
differentiate,Oxford5000,13
dignity,Oxford5000,7
dilemma,Oxford5000,7
dimension,Oxford5000,9
diminish,Oxford5000,8
dip,Oxford5000,3
diplomat,Oxford5000,8
diplomatic,Oxford5000,10
directory,Oxford5000,9
disability,Oxford5000,10
disabled,Oxford5000,8
disagreement,Oxford5000,12
disappoint,Oxford5000,10
disappointment,Oxford5000,14
disastrous,Oxford5000,10
discard,Oxford5000,7
discharge,Oxford5000,9
disclose,Oxford5000,8
disclosure,Oxford5000,10
discourage,Oxford5000,10
discourse,Oxford5000,9
discretion,Oxford5000,10
discrimination,Oxford5000,14
dismissal,Oxford5000,9
disorder,Oxford5000,8
displace,Oxford5000,8
disposal,Oxford5000,8
dispose,Oxford5000,7
dispute,Oxford5000,7
disrupt,Oxford5000,7
disruption,Oxford5000,10
dissolve,Oxford5000,8
distant,Oxford5000,7
distinct,Oxford5000,8
distinction,Oxford5000,11
distinctive,Oxford5000,11
distinguish,Oxford5000,11
distort,Oxford5000,7
distract,Oxford5000,8
distress,Oxford5000,8
disturb,Oxford5000,7
disturbing,Oxford5000,10
dive,Oxford5000,4
diverse,Oxford5000,7
diversity,Oxford5000,9
divert,Oxford5000,6
divine,Oxford5000,6
divorce,Oxford5000,7
doctrine,Oxford5000,8
documentation,Oxford5000,13
domain,Oxford5000,6
dominance,Oxford5000,9
dominant,Oxford5000,8
donation,Oxford5000,8
donor,Oxford5000,5
dose,Oxford5000,4
dot,Oxford5000,3
downtown,Oxford5000,8
drain,Oxford5000,5
dramatically,Oxford5000,12
drift,Oxford5000,5
driving,Oxford5000,7
drought,Oxford5000,7
drown,Oxford5000,5
dual,Oxford5000,4
dub,Oxford5000,3
dull,Oxford5000,4
dumb,Oxford5000,4
dump,Oxford5000,4
duo,Oxford5000,3
duration,Oxford5000,8
dynamic,Oxford5000,7
eager,Oxford5000,5
earnings,Oxford5000,8
ease,Oxford5000,4
echo,Oxford5000,4
ecological,Oxford5000,10
economics,Oxford5000,9
economist,Oxford5000,9
editorial,Oxford5000,9
educator,Oxford5000,8
effectiveness,Oxford5000,13
efficiency,Oxford5000,10
efficiently,Oxford5000,11
ego,Oxford5000,3
elaborate,Oxford5000,9
